epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.091,1.33609,2.77647,1.49688,0.35582,0.28829,0.24977,0.11309,2.00858,2.95928,1.90284,0.00332974,0.00332974,0.00332974
2,220.201,1.31651,2.06355,1.45805,0.26517,0.24665,0.18444,0.07556,2.13155,2.88794,2.07682,0.00661909,0.00661909,0.00661909
3,332.9,1.42759,1.9578,1.55168,0.20243,0.22191,0.12777,0.04907,2.26977,2.83926,2.31626,0.00986445,0.00986445,0.00986445
4,447.933,1.51296,1.95281,1.6324,0.20801,0.16049,0.12417,0.04708,2.31434,2.92084,2.39434,0.009802,0.009802,0.009802
5,561.867,1.45806,1.82974,1.58774,0.33396,0.32409,0.27448,0.11822,2.10854,2.58117,2.04503,0.009736,0.009736,0.009736
6,682.788,1.41276,1.70626,1.56117,0.33732,0.28425,0.24692,0.11094,2.15035,2.40116,2.07181,0.00967,0.00967,0.00967
