epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3616.6,1.04754,0.92241,1.25956,0.71358,0.66638,0.71155,0.38793,1.66894,1.26466,1.58188,0.007228,0.007228,0.007228
44,3689.39,1.05868,0.91941,1.26144,0.75246,0.62942,0.70157,0.38044,1.63445,1.27969,1.54562,0.007162,0.007162,0.007162
45,3762.1,1.04562,0.92135,1.25563,0.82622,0.62152,0.72696,0.39684,1.62657,1.25253,1.56239,0.007096,0.007096,0.007096
46,3834.97,1.04576,0.91186,1.25333,0.83226,0.64221,0.75329,0.39365,1.65129,1.18992,1.58194,0.00703,0.00703,0.00703
47,3907.31,1.04145,0.91108,1.25684,0.79591,0.68324,0.75701,0.42097,1.642,1.15367,1.5734,0.006964,0.006964,0.006964
48,3980.01,1.0425,0.90181,1.25008,0.7142,0.69195,0.70304,0.39503,1.65511,1.17741,1.58978,0.006898,0.006898,0.006898
49,4052.65,1.02946,0.89605,1.24335,0.72098,0.69801,0.70921,0.39256,1.67476,1.21065,1.59643,0.006832,0.006832,0.006832
50,4125.37,1.02443,0.88228,1.24274,0.76641,0.70934,0.7461,0.40671,1.62648,1.17205,1.54981,0.006766,0.006766,0.006766
51,4197.95,1.02507,0.87551,1.23831,0.81294,0.68825,0.74208,0.40423,1.63206,1.18098,1.56499,0.0067,0.0067,0.0067
52,4270.59,1.02524,0.8749,1.23772,0.78617,0.68237,0.73978,0.42122,1.62619,1.17568,1.54958,0.006634,0.006634,0.006634
53,4343.01,1.01447,0.86546,1.23229,0.7758,0.68549,0.74365,0.41241,1.60281,1.1626,1.53946,0.006568,0.006568,0.006568
54,4415.72,1.02153,0.87607,1.23764,0.83302,0.70213,0.75137,0.40794,1.61268,1.15913,1.53601,0.006502,0.006502,0.006502
55,4488.18,1.0113,0.85423,1.23115,0.83636,0.67783,0.76536,0.42405,1.6341,1.12669,1.54495,0.006436,0.006436,0.006436
56,4560.47,1.00168,0.84634,1.21757,0.82094,0.69,0.75334,0.41816,1.63793,1.13372,1.56238,0.00637,0.00637,0.00637
57,4632.71,1.01755,0.85882,1.23052,0.79919,0.71675,0.77838,0.4331,1.61787,1.1114,1.53598,0.006304,0.006304,0.006304
58,4705.42,0.99946,0.84221,1.22131,0.80463,0.71162,0.76433,0.41495,1.63283,1.14503,1.5381,0.006238,0.006238,0.006238
